"subject","description","created_at"
"Größe zu klein","Hallo, ich habe M bestellt laut Ihrer Tabelle, das passt aber überhaupt nicht. Kann ich L tauschen?","2026-02-10"
"Umtausch Größe","Ich brauche eine Nummer größer. Wie geht der Umtausch?","2026-01-23"
"Größentabelle","Ihre Größentabelle stimmt nicht. Ich habe nach Unterbrustumfang bestellt und es ist viel zu eng.","2026-02-20"
"welche Größe","Ich bin 80C. Welche Größe brauche ich bei Ihnen? Auf der Seite finde ich dazu nichts Eindeutiges.","2026-06-13"
"zu eng","Das Bralette schneidet unter der Brust ein. Ich habe die Größe nach Ihrer Empfehlung genommen.","2026-04-08"
"Rückgabe","Zwei Teile passen nicht, ich möchte beide zurückschicken. Wie läuft das?","2025-09-29"
"Tausch S auf M","Kann ich S gegen M tauschen ohne neu zu bezahlen?","2026-04-02"
"Größe zwischen zwei","Ich liege zwischen S und M. Was empfehlen Sie? Ich möchte nicht wieder zurückschicken müssen.","2026-02-27"
"passt nicht","Leider passt es nicht. Retourenschein liegt nicht bei, wo bekomme ich den?","2026-03-07"
"Beratung Größe","Ich habe eine große Oberweite und schmalen Rücken. Bei welcher Größe habe ich eine Chance?","2025-06-20"
"zu groß bestellt","Ich habe auf Empfehlung eine Nummer größer genommen und jetzt ist es zu weit. Sehr verwirrend.","2026-05-30"
"Größe Slip anders","Der Slip in M passt, das Bralette in M nicht. Warum ist das innerhalb einer Marke unterschiedlich?","2026-02-02"
"Umtausch dauert","Mein Umtausch ist seit zwei Wochen unterwegs. Wo bleibt das Ersatzteil?","2025-06-26"
"Lieferung","Bestellung vom 3. ist noch nicht da. Sendungsverfolgung zeigt seit vier Tagen keine Änderung.","2026-03-28"
"Paket verschollen","DHL sagt zugestellt, bei mir ist nichts angekommen. Bitte prüfen.","2026-01-21"
"Lieferzeit","Wie lange dauert der Versand nach Österreich? Steht nirgends auf der Seite.","2026-07-26"
"Rechnung fehlt","In meiner Bestellung war keine Rechnung. Können Sie die per Mail schicken?","2026-05-19"
"Waschen","Kann ich das in den Trockner? Auf dem Etikett steht ein Symbol, das ich nicht kenne.","2025-11-01"
"Pilling","Nach etwa 15 Wäschen bildet sich am Bund Pilling. Ist das normal bei dem Preis?","2026-07-05"
"Naht offen","Bei einem Teil ist nach drei Wochen die Seitennaht aufgegangen. Foto im Anhang.","2025-08-02"
"Farbe verwaschen","Die dunkelblaue Farbe ist nach fünf Wäschen deutlich blasser. Habe kalt gewaschen.","2026-03-10"
"Gummi ausgeleiert","Das Unterbrustband ist nach zwei Monaten ausgeleiert und hält nicht mehr.","2026-06-20"
"Nachbestellung Farbe","Wann kommt Nebelgrau in M wieder rein? Steht seit Wochen auf nicht verfügbar.","2026-03-16"
"wieder verfügbar","Ist der Body Fee in L irgendwann wieder lieferbar oder ausgelaufen?","2026-05-30"
"Preis Aktion","Ich habe letzte Woche zum Vollpreis gekauft, jetzt ist Sale. Bekomme ich die Differenz?","2026-03-24"
"zu teuer","39 Euro für einen Slip finde ich sehr viel. Gibt es Mengenrabatt bei mehreren?","2026-03-11"
"Gutschein geht nicht","Mein Willkommensgutschein wird im Warenkorb nicht angenommen.","2026-05-21"
"Material Frage","Enthält das Modal? Ich reagiere auf bestimmte Kunstfasern und finde die Zusammensetzung nicht.","2026-03-27"
"Allergie","Ich habe Neurodermitis. Sind die Nähte flach oder eingenäht?","2026-05-05"
"Herkunft","Wo wird produziert? Auf der Seite steht nachhaltig, aber nicht wo genau.","2026-04-22"
"GOTS","Ist die Baumwolle GOTS-zertifiziert? Ich finde kein Siegel.","2026-04-23"
"Geschenk umtauschen","Ich habe das verschenkt und es passt nicht. Kann die Empfängerin ohne Rechnung tauschen?","2026-02-03"
"Geschenkverpackung","Kann ich die Geschenkverpackung nachträglich dazubuchen?","2026-05-06"
"falsch geliefert","Ich habe den Slip Greta bestellt und die Panty Marla bekommen.","2026-06-01"
"zwei mal abgebucht","Der Betrag wurde zweimal abgebucht. Bitte eine Buchung stornieren.","2026-04-13"
"Konto löschen","Bitte löschen Sie mein Kundenkonto und alle Daten.","2025-11-12"
"Newsletter abmelden","Ich bekomme weiter Newsletter, obwohl ich abgemeldet habe.","2025-11-07"
"Sport geeignet","Ist das Bralette für Sport geeignet? Auf der Seite steht dazu nichts.","2026-01-31"
"unter weiss","Zeichnet sich die nudefarbene Variante unter weissen Shirts ab?","2026-05-09"
"Stillzeit","Ist das für die Stillzeit geeignet oder gibt es dafür ein anderes Modell?","2025-08-25"
